dc,ic,ec,sc,bc,cc,nc,ION,essential0,essential1
0.02259887,0.576699775,0.000115282,4.41E-07,0.01180633,0.007453994,0,0.015151515,0,1
0.084745763,0.907540707,0.014478137,0.006954698,0.00213909,0.007503833,0.026366481,0.622132239,0,1
0.016949153,0.546485402,0.001023427,3.48E-05,0.010948013,0.007482844,0,0.121212121,0,1
0.033898305,0.683188446,0.002534211,0.000213077,0.023893442,0.007481714,0,0.338383838,0,1
0.062146893,0.877023308,0.017080122,0.009679042,0.000897773,0.007509083,0.062013962,0.544936762,0,1
0.039548023,0.734264377,0.000293139,2.85E-06,0.009934806,0.007466836,0.057338306,0.078476743,0,1
0.02259887,0.54321988,0.001225733,4.98E-05,0.033921042,0.007482618,0,0,0,1
0.005649718,0.268969686,7.56E-07,1.90E-11,0,0.007377198,0,0.378787879,0,1
0.016949153,0.614605611,0.000347,3.99E-06,0.000897433,0.007470294,0.014765229,0.629916413,0,1
0.039548023,0.795589379,0.005667575,0.001065725,0.007335978,0.007508484,0.019686972,0.232853823,0,1
0.011299435,0.549048255,0.002712621,0.000244134,0.000608109,0.007492531,0,0.48989899,0,1
0.02259887,0.643562971,0.001502143,7.49E-05,0.000926951,0.007482762,0.039373944,0.011281074,0,1
0.124293785,0.920590902,0.024873542,0.020527021,0.061331665,0.00751718,0.047108112,0.061140437,0,1
0.429378531,0.988395054,0.070777685,0.16620511,0.091645957,0.007528661,0.210374111,0.622304781,0,1
0.028248588,0.405150376,2.16E-06,1.55E-10,0.034294315,0.007393745,0,0.025252525,0,1
0.15819209,0.953638782,0.053013974,0.093246243,0.003520855,0.007518673,0.091658764,0.252297621,0,1
0.039548023,0.811325291,0.004577497,0.000695195,0,0.007486378,0.103356604,0.031791997,0,1
0.062146893,0.826076426,0.006774402,0.001522625,0.029995924,0.007507429,0.005906092,0.157591682,0,1
0.02259887,0.687476196,0.002202852,0.000160998,0.003130303,0.007477876,0,0.101010101,0,1
0.005649718,0.376592875,0.000995426,3.29E-05,0,0.007464158,0,0.363636364,0,1
0.011299435,0.553571064,0.004127372,0.000565195,2.68E-05,0.007491666,0,0.388888889,0,1
